task_type,sample_id,actions,property,expected_result,model_name
projection,1,"process_started(1),check_availability(start,1),check_availability(end,1,not_available),registration_to_the_reimbursement_system(start,1),registration_to_the_reimbursement_system(end,1),login_into_the_reimbursement_system(start,1),login_into_the_reimbursement_system(end,1),create_an_electronic_report(start,1),create_an_electronic_report(end,1)",report(1),True,process_0.bpmn
verification,2,,"done(report_rejection_notification_sent(id)),neg(done(reimbursement_approved(id)))",True,process_0.bpmn
projection,3,"process_started(1),registration_to_the_reimbursement_system(start,1),registration_to_the_reimbursement_system(end,1),login_into_the_reimbursement_system(start,1),login_into_the_reimbursement_system(end,1)",report(1),False,process_0.bpmn
verification,4,,"done(report_rejection_notification_sent(id)),done(reimbursement_approved(id))",False,process_0.bpmn
projection,5,"order_received(1),register_the_order(start,1),register_the_order(end,1,working_day),check_products_availability(start,1),check_products_availability(end,1,no),retrieve_suppliers_list(start,1),retrieve_suppliers_list(end,1)",supplier(1),True,process_1.bpmn
verification,6,,"bill(id),neg(done(order_aborted(id)))",True,process_1.bpmn
projection,7,"order_received(1),register_the_order(start,1),register_the_order(end,1,working_day),check_products_availability(start,1),check_products_availability(end,1,no)",supplier(1),False,process_1.bpmn
verification,8,,"bill(id),done(order_aborted(id))",False,process_1.bpmn
projection,9,"study_plan_management_started(1),login(start,1),login(end,1),retrieve_study_plans(start,1),retrieve_study_plans(end,1)",study_plan(1),True,process_2.bpmn
verification,10,,"reject_reason(id),done(reject_study_plan(start,id))",True,process_2.bpmn
projection,11,"study_plan_management_started(1),login(start,1),login(end,1),retrieve_study_plans(start,1),retrieve_study_plans(end,1)",study_plan(2),False,process_2.bpmn
verification,12,,"reject_reason(id),done(approve_study_plan(start,id))",False,process_2.bpmn
projection,13,"application_received(1),check_account(start,1),check_account(end,1,yes),cv_request_sent(1),elaborate_cv(start,1),elaborate_cv(end,1)",cv(1),True,process_3.bpmn
verification,14,,"done(check_account(end,id,no)),done(create_new_account(start,id))",True,process_3.bpmn
projection,15,"application_received(1),check_account(start,1),check_account(end,1,yes),cv_request_sent(1)",cv(1),False,process_3.bpmn
verification,16,,"done(check_account(end,id,yes)),done(create_new_account(start,id))",False,process_3.bpmn
projection,17,"date_30_september_2024(1),prepare_nomination_form(start,1),prepare_nomination_form(end,1)",nomination_form(1),True,process_4.bpmn
verification,18,,"done(selection_procedure_aborted(id)),neg(done(selection_completed(id)))",True,process_4.bpmn
projection,19,"date_30_september_2024(1),prepare_nomination_form(start,1),prepare_nomination_form(end,1)",nomination_form(2),False,process_4.bpmn
verification,20,,"done(selection_procedure_aborted(id)),final_report(id)",False,process_4.bpmn
projection,21,"expense_report_received(1),notify_employee(1),check_new_account(start,1),check_new_account(end,1,account_already_existing),review_amount(start,1),review_amount(end,1,amount_smaller_1000),expense_report_approved_without_assessment(1)",done(expense_report_approved_without_assessment(1)),True,process_5.bpmn
verification,22,,"done(approve_expense_report(start,id)),done(money_transferred(id))",True,process_5.bpmn
projection,23,"expense_report_received(1),notify_employee(1),check_new_account(start,1),check_new_account(end,1,account_already_existing),review_amount(start,1),review_amount(end,1,amount_smaller_1000),expense_report_approved_without_assessment(1)",done(reimbursement_cancelled(1)),False,process_5.bpmn
verification,24,,"reimbursement_cancelled(id),done(assess_evaluation_report(start,id))",False,process_5.bpmn
projection,25,"pallet_arrived(1),check_quality_parameters(start,1),check_quality_parameters(end,1)",firmness(1),True,process_6.bpmn
verification,26,,"neg(done(pallet_discarded(id))),done(analyse_sample(start,id))",True,process_6.bpmn
projection,27,"pallet_arrived(1),check_quality_parameters(start,1),check_quality_parameters(end,1)",product_info(1),False,process_6.bpmn
verification,28,,"done(pallet_discarded(id)),done(analyse_sample(start,id))",False,process_6.bpmn
projection,29,"new_client_acquired(1),request_personal_data(start,1),request_personal_data(end,1)",personal_data(1),True,process_7.bpmn
verification,30,,"neg(interruption_completed(id)),sim_card(id)",True,process_7.bpmn
projection,31,"new_client_acquired(1),request_personal_data(start,1),request_personal_data(end,1),check_correctness_of_personal_data(start,1),check_correctness_of_personal_data(end,1),ask_portability(start,1),ask_portability(end,1,false),assign_new_number(start,1),assign_new_number(end,1),sign_contract(start,1),sign_contract(end,1),store_data(start,1),store_data(end,1),request_payment(start,1),request_payment(end,1),send_sim_card(start,1),send_sim_card(end,1)",sim_card(1),False,process_7.bpmn
verification,32,,"done(portability_refused(id)),sim_card(id)",False,process_7.bpmn
projection,33,"job_position_opened(1),create_job_advertisement(start,1),create_job_advertisement(end,1),thirty_days(start,1),thirty_days(end,1),search_for_candidates(start,1),search_for_candidates(end,1,true),retrieve_candidate_cv_and_motivation_letter(start,1),retrieve_candidate_cv_and_motivation_letter(end,1)",cv_and_motivation_letter(1),True,process_8.bpmn
verification,34,,"done(candidate_not_eligible(id)),done(job_contract_sent(id))",True,process_8.bpmn
projection,35,"job_position_opened(1),create_job_advertisement(start,1),create_job_advertisement(end,1),thirty_days(start,1),thirty_days(end,1),search_for_candidates(start,1),search_for_candidates(end,1,true),retrieve_candidate_cv_and_motivation_letter(start,1),retrieve_candidate_cv_and_motivation_letter(end,1)",cv_and_motivation_letter(2),False,process_8.bpmn
verification,36,,"done(three_days(start,id)),done(job_contract_sent(id))",False,process_8.bpmn
projection,37,"order_received(1),create_order_request(start,1),create_order_request(end,1)",order_request(1),True,process_9.bpmn
verification,38,,"done(after_7_days(end,id)),neg(done(order_managed(id)))",True,process_9.bpmn
projection,39,"order_received(2),create_order_request(start,2),create_order_request(end,2)",order_request(1),False,process_9.bpmn
verification,40,,"done(order_cancelled(id)),done(check_availability(start,id))",False,process_9.bpmn
